EL124,28,175 St A,98.31%,99.22%,99.98%,93.86%,10,4,6,0
EL236,8,47‐50 Sts‐Rockefeller Center BDFM,98.35%,98.88%,99.61%,98.67%,10,6,4,2
EL720,3,Fulton St ACJZ2345,98.45%,98.90%,99.30%,97.14%,11,8,3,0
EL278,8,59 St‐Columbus Circle ABCD1,98.50%,98.84%,100.00%,97.62%,6,2,4,0
EL180,9,135 St 23,98.51%,98.91%,100.00%,91.68%,7,4,3,3
EL205,27,Grand Central‐42 St 456,98.51%,99.07%,98.80%,98.00%,13,8,5,0
EL316,0,Brooklyn Bridge 456,98.63%,99.33%,98.70%,N/A,11,8,3,0
EL141,10,168 St AC,98.69%,100.00%,98.13%,98.16%,6,2,4,1
EL217,17,14 St‐Union Sq LNQRW,98.72%,99.21%,99.71%,95.56%,9,6,3,1
EL227,15,34 St‐Penn Station A,98.77%,100.00%,98.91%,97.42%,6,2,4,0
EL265,1,72 St Q,98.81%,98.64%,99.00%,N/A,7,2,5,0
EL233,11,Times Sq‐42 St 123,98.84%,98.91%,100.00%,98.07%,6,4,2,0
EL149,18,Inwood‐207 St A,98.86%,100.00%,100.00%,98.09%,5,2,3,0
EL337,8,Chambers St 123,98.87%,98.10%,98.22%,98.17%,18,14,4,0
EL239,14,72 St 123,98.92%,99.35%,98.55%,97.87%,5,2,3,2
EL314,0,Brooklyn Bridge 456,98.92%,100.00%,98.38%,N/A,10,6,4,1
EL202,0,51 St 6,98.93%,98.02%,99.11%,97.45%,8,6,2,2
EL719,4,Fulton St ACJZ2345,98.93%,100.00%,98.32%,97.49%,6,4,2,0
EL721,4,Fulton St ACJZ2345,98.93%,100.00%,98.38%,93.03%,6,4,2,0
EL240,14,72 St 123,98.96%,100.00%,100.00%,98.29%,7,2,5,0
EL401,2,Lexington Av‐63 St FQ,98.97%,100.00%,98.91%,98.78%,7,5,2,0
EL214,14,34 St‐Penn Station 1,99.01%,98.80%,100.00%,96.21%,9,7,2,0
EL140,10,168 St AC,99.06%,100.00%,100.00%,96.96%,4,1,3,0
EL181,9,135 St 23,99.13%,99.15%,99.43%,97.44%,5,3,2,0
EL601,2,34 St‐Hudson Yards 7,99.13%,99.78%,98.57%,84.61%,5,3,2,0
EL219,17,14 St‐Union Sq NQRW,99.14%,100.00%,99.52%,98.98%,8,5,3,0
EL148,18,Inwood‐207 St A,99.22%,99.34%,99.25%,94.79%,4,2,2,0
EL266,1,72 St Q,99.23%,99.18%,100.00%,N/A,6,,6,0
EL264,1,72 St Q,99.24%,99.17%,100.00%,N/A,5,,5,0
EL210,24,34 St‐Herald Sq BDFM,99.24%,99.93%,99.05%,95.87%,8,7,1,1
EL404,28,Roosevelt Island F,99.24%,100.00%,100.00%,99.05%,6,3,3,0
EL259,1,72 St Q,99.25%,100.00%,98.78%,N/A,8,2,6,0
EL325,16,Canal St 6,99.31%,100.00%,100.00%,96.86%,2,1,1,0
EL235,8,47‐50 Sts‐Rockefeller Center BDFM,99.34%,99.09%,100.00%,99.65%,4,2,2,0
EL238,18,66 St‐Lincoln Center 1,99.34%,99.94%,100.00%,97.12%,4,2,2,0
EL603,2,34 St‐Hudson Yards 7,99.36%,100.00%,99.60%,97.84%,5,2,3,1
EL602,2,34 St‐Hudson Yards 7,99.47%,98.12%,100.00%,92.75%,3,2,1,0
EL209,24,34 St‐Herald Sq BDFM,99.53%,100.00%,100.00%,98.21%,2,,2,0
EL600,2,34 St‐Hudson Yards 7,99.56%,99.68%,99.63%,97.77%,5,3,2,0
EL216,14,34 St‐Penn Station 1,99.59%,100.00%,100.00%,99.01%,3,2,1,0
EL324,16,Canal St 6,99.83%,100.00%,100.00%,97.04%,2,1,1,0
EL393,14,Flushing Av JM,85.95%,88.35%,85.71%,89.59%,27,21,6,4
EL323,13,Crown Hts‐Utica Av 34,91.28%,94.63%,91.27%,98.49%,31,29,2,3
EL376,5,Bay Parkway D,91.29%,91.42%,91.06%,96.97%,23,17,6,1
EL302,13,Pacific St‐Atlantic Av DNR,93.10%,95.58%,91.17%,97.55%,38,36,2,3
EL309,16,Court St R,93.78%,94.19%,93.59%,90.75%,22,17,5,0
EL339,18,Franklin Av CS,94.66%,96.30%,95.37%,96.88%,14,9,5,2
EL308,16,Court St R,94.69%,95.68%,93.46%,97.79%,19,18,1,2
EL319,20,Brooklyn College‐Flatbush Av 25,95.00%,96.87%,90.92%,98.67%,17,14,3,3
EL311,17,Clark St 23,95.18%,95.34%,93.53%,87.39%,18,12,6,0
EL397,9,Myrtle‐Wyckoff Avs L,95.41%,95.64%,95.83%,96.15%,13,10,3,1
EL317,23,Borough Hall 2345,95.50%,97.13%,95.48%,90.24%,13,11,2,1
EL344,3,Utica Av AC,95.90%,97.99%,95.39%,93.13%,13,11,2,3
EL303,13,Pacific St‐Atlantic Av DNR,96.02%,97.89%,95.84%,95.25%,20,13,7,1
EL341,11,Euclid Av AC,96.21%,99.25%,96.10%,96.86%,19,10,9,5
EL312,17,Clark St 23,96.49%,94.68%,97.71%,85.59%,16,11,5,1
EL383,14,Prospect Park BQS,96.66%,96.95%,97.60%,98.49%,11,9,2,1
EL320,19,Church Av 25,96.85%,97.79%,97.10%,98.28%,15,13,2,1
EL372,12,DeKalb Av BQR,96.93%,97.92%,98.64%,98.01%,20,13,7,0
EL396,9,Myrtle‐Wyckoff Avs LM,97.04%,98.51%,94.82%,95.53%,14,12,2,3
EL305,13,Atlantic Av 45,97.06%,97.26%,97.15%,94.64%,18,13,5,1
EL318,23,Borough Hall 2345,97.11%,97.35%,96.67%,89.22%,10,6,4,1
EL343,11,Euclid Av AC,97.38%,98.91%,98.10%,99.21%,11,7,4,1
EL310,17,Clark St 23,97.55%,97.82%,97.40%,97.35%,13,11,2,1
EL371,12,DeKalb Av BQR,97.61%,97.58%,98.53%,99.50%,19,14,5,1
EL301,13,Pacific St‐Atlantic Av DNR,97.66%,97.91%,98.71%,97.34%,13,12,1,0
EL394,14,Flushing Av JM,97.70%,99.32%,95.97%,96.85%,12,7,5,2
EL304,13,Atlantic Av 23,97.80%,98.18%,98.59%,94.71%,9,7,2,1
EL395,14,Flushing Av JM,97.91%,100.00%,99.42%,93.11%,12,5,7,0
EL340,18,Franklin Av CS,97.92%,96.46%,99.23%,98.41%,9,7,2,2
EL760,6,Kings Highway BQ,97.97%,98.47%,97.72%,97.59%,15,10,5,0
EL706,7,Jay St ACFR,98.12%,99.80%,99.26%,96.95%,25,21,4,1
EL307,13,Atlantic Av BQ,98.25%,99.86%,97.57%,98.57%,14,13,1,2
EL322,13,Crown Hts‐Utica Av 34,98.33%,100.00%,99.08%,99.02%,11,6,5,0
EL398,9,Myrtle‐Wyckoff Avs M,98.41%,100.00%,99.72%,96.07%,7,1,6,0
EL392,13,Marcy Av JMZ,98.42%,100.00%,98.91%,97.07%,8,2,6,0
EL391,13,Marcy Av JMZ,98.45%,99.80%,98.91%,95.93%,6,1,5,1
EL342,11,Euclid Av AC,98.62%,100.00%,99.84%,97.96%,8,2,6,0
EL761,6,Kings Highway BQ,98.86%,100.00%,100.00%,99.70%,8,3,5,0
EL373,9,Church Av FG,98.88%,100.00%,99.55%,99.13%,8,3,5,0
EL370,12,DeKalb Av BQR,98.90%,98.66%,100.00%,96.87%,8,3,5,1
EL374,9,Church Av FG,98.93%,100.00%,99.68%,99.44%,7,3,4,0
EL702,12,Coney Island‐Stillwell Av DFNQ,98.99%,100.00%,99.14%,97.39%,6,1,5,0
EL346,3,Utica Av AC,99.00%,99.50%,99.13%,98.78%,13,11,2,0
EL375,9,Church Av FG,99.13%,99.96%,99.70%,99.10%,7,3,4,0
EL345,3,Utica Av AC,99.14%,99.61%,99.38%,99.17%,6,4,2,1
EL701,12,Coney Island‐Stillwell Av DFNQ,99.20%,99.32%,100.00%,93.64%,4,,4,0
EL321,19,Church Av 25,99.20%,99.95%,99.46%,96.79%,4,2,2,0
EL707,7,Jay St ACFR,99.28%,99.99%,99.04%,98.46%,8,6,2,1
EL378,5,Bay Parkway D,99.33%,100.00%,100.00%,99.37%,6,2,4,0
EL377,5,Bay Parkway D,99.35%,100.00%,99.72%,99.36%,6,3,3,0
EL306,13,Atlantic Av 23,99.36%,100.00%,100.00%,92.65%,6,3,3,0
